,Title,Artist,Streams,Date,Followers
382,quando a bad bater - ao vivo,Luan Santana,657035,2019-09-21,3552049
383,"Go Loko (feat. Tyga, Jon Z)",YG,656482,2019-09-21,1903823
384,I Like It,Cardi B,656011,2019-09-21,9547656
385,September,"Earth, Wind & Fire",615435,2019-09-23,1978882
386,Ronin,Bushido,625601,2019-09-24,928193
387,Adriana,RAF Camora,623159,2019-09-24,966420
388,Ritual,Tiësto,650726,2019-09-26,4638075
389,Drip Too Hard (Lil Ba,& Gunna),650067,2019-09-26,41
390,Trampoline (with ZAYN),SHAED,927498,2019-09-27,57960
391,Hash Hash,SSIO,885617,2019-09-27,259759
392,Fabergé,RIN,684367,2019-09-28,364685
393,Africa,TOTO,662526,2019-09-28,1194835
394,Hit Contagiante,Felipe Original,659348,2019-09-28,12027
395,Gaiola É o Troco,MC Du Black,657290,2019-09-28,6730
